PIK #,Hall,Room #,Key
336661536,AH CONFERENCE,RAR-319Aa,ST-16A
336661537,AH CONFERENCE,RAR-319Ba,ST-16B
336661538,AH CONFERENCE,RAR-319Ca,ST-16C
336661539,AH CONFERENCE,RAR-320a,ST-17L
336661540,AH CONFERENCE,RAR-320b,ST-17R
336661541,AH CONFERENCE,RAR-321a,ST-18L
336661542,AH CONFERENCE,RAR-321b,ST-18R
336661543,AH CONFERENCE,RAR-322Aa,ST-19A
336661544,AH CONFERENCE,RAR-322Ba,ST-19B
336661545,AH CONFERENCE,RAR-322Ca,ST-19C
336661546,AH CONFERENCE,RAR-323Aa,ST-20A
336661547,AH CONFERENCE,RAR-323Ba,ST-20B
336661548,AH CONFERENCE,RAR-323Ca,ST-20C
336661549,AH CONFERENCE,RAR-326a,ST-21L
336661550,AH CONFERENCE,RAR-326b,ST-21R
336661551,AH CONFERENCE,RAR-327Aa,ST-22A
336661552,AH CONFERENCE,RAR-327Ba,ST-22B
336661553,AH CONFERENCE,RAR-327Ca,ST-22C
336661554,AH CONFERENCE,RAR-328Aa,ST-23A
336661555,AH CONFERENCE,RAR-328Ba,ST-23B
336661556,AH CONFERENCE,RAR-328Ca,ST-23C
336661557,AH CONFERENCE,RAR-329a,ST-24L
336661558,AH CONFERENCE,RAR-329b,ST-24R
336661559,AH CONFERENCE,RAR-330a,ST-25L
336661560,AH CONFERENCE,RAR-330b,ST-25R
336661561,AH CONFERENCE,RAR-331aR,ST-26L
336661562,AH CONFERENCE,RAR-332Aa,ST-27A
336661563,AH CONFERENCE,RAR-332Ba,ST-27B
336661564,AH CONFERENCE,RAR-332Ca,ST-27C
336661565,AH CONFERENCE,RAR-333Aa,ST-28A
336661566,AH CONFERENCE,RAR-333Ba,ST-28B
336661567,AH CONFERENCE,RAR-333Ca,ST-28C
336661568,AH CONFERENCE,RAR-334Aa,ST-29A
336661569,AH CONFERENCE,RAR-334Ba,ST-29B
336661570,AH CONFERENCE,RAR-334Ca,ST-29C
336661571,AH CONFERENCE,RAR-335Aa,ST-30A
336661572,AH CONFERENCE,RAR-335Ba,ST-30B
336661573,AH CONFERENCE,RAR-335Ca,ST-30C
336661574,AH CONFERENCE,RAR-336Aa,ST-31A
336661575,AH CONFERENCE,RAR-336Ba,ST-31B
336661576,AH CONFERENCE,RAR-336Ca,ST-31C
336661577,AH CONFERENCE,RAR-337Aa,ST-32A
336661578,AH CONFERENCE,RAR-337Ba,ST-32B
336661579,AH CONFERENCE,RAR-337Ca,ST-32C
336661580,AH CONFERENCE,RAR-338Aa,ST-33A
336661581,AH CONFERENCE,RAR-338Ba,ST-33B
336661582,AH CONFERENCE,RAR-338Ca,ST-33C
336661583,AH CONFERENCE,RAR-340Aa,ST-34A
336661584,AH CONFERENCE,RAR-340Ba,ST-34B
336661585,AH CONFERENCE,RAR-340Ca,ST-34C
